Date,Region,Cases,Deaths
2020-03-03,Deutschland,196,0
2020-03-03,Europa,3367,84
2020-03-03,China,80304,2946
2020-03-03,Weltweit,92138,3134
2020-03-04,Deutschland,262,0
2020-03-04,Europa,3483,85
2020-03-04,China,80423,2984
2020-03-04,Weltweit,94150,3219
2020-03-05,Deutschland,400,0
2020-03-05,Europa,4296,113
2020-03-05,China,80524,3014
2020-03-05,Weltweit,96274,3309
2020-03-06,Deutschland,639,0
2020-03-06,Europa,6066,162
2020-03-06,China,80670,3044
2020-03-06,Weltweit,100106,3405
2020-03-07,Deutschland,795,0
2020-03-07,Europa,7533,215
2020-03-07,China,80769,3072
2020-03-07,Weltweit,102084,3491
2020-03-08,Deutschland,902,0
2020-03-08,Europa,10310,274
2020-03-08,China,80813,3099
2020-03-08,Weltweit,107732,3662
2020-03-09,Deutschland,1139,2
2020-03-09,Europa,12873,419
2020-03-09,China,80860,3121
2020-03-09,Weltweit,111332,3879
2020-03-10,Deutschland,1296,2
2020-03-10,Europa,15454,535
2020-03-10,China,80880,3138
2020-03-10,Weltweit,114186,4019
2020-03-11,Deutschland,1567,3
2020-03-11,Europa,19540,732
2020-03-11,China,80909,3160
2020-03-11,Weltweit,121672,4373
2020-03-12,Deutschland,2369,5
2020-03-12,Europa,23950,961
2020-03-12,China,80933,3171
2020-03-12,Weltweit,127617,4711
2020-03-13,Deutschland,3062,5
2020-03-13,Europa,32124,1242
2020-03-13,China,80955,3180
2020-03-13,Weltweit,138015,5102
2020-03-14,Deutschland,3795,8
2020-03-14,Europa,38915,1594
2020-03-14,China,80966,3193
2020-03-14,Weltweit,147457,5582
2020-03-15,Deutschland,4838,12
2020-03-15,Europa,47248,1817
2020-03-15,China,80966,3203
2020-03-15,Weltweit,157044,5839
2020-03-16,Deutschland,6012,13
2020-03-16,Europa,55461,2297
2020-03-16,China,81003,3203
2020-03-16,Weltweit,167667,6442
2020-03-17,Deutschland,7156,12
2020-03-17,Europa,64212,2736
2020-03-17,China,81033,3217
2020-03-17,Weltweit,181408,7120
