Subunit,Country,110m,50m,10m
Akrotiri Sovereign Base Area,United Kingdom,No,No,Yes
Aland,Finland,No,Yes,Yes
American Samoa,United States of America,No,Yes,Yes
Andorra,Andorra,No,Yes,Yes
Anguilla,United Kingdom,No,Yes,Yes
Antigua and Barbuda,Antigua and Barbuda,No,Yes,Yes
Aruba,Netherlands,No,Yes,Yes
Ashmore and Cartier Islands,Australia,No,Yes,Yes
Bahrain,Bahrain,No,Yes,Yes
Barbados,Barbados,No,Yes,Yes
Baykonur Cosmodrome,Kazakhstan,No,No,Yes
Bermuda,United Kingdom,No,Yes,Yes
British Indian Ocean Territory,United Kingdom,No,Yes,Yes
British Virgin Islands,United Kingdom,No,Yes,Yes
Cabo Verde,Cabo Verde,No,Yes,Yes
Caribbean Netherlands,Netherlands,No,No,No
Cayman Islands,United Kingdom,No,Yes,Yes
Clipperton Island,France,No,No,Yes
Comoros,Comoros,No,Yes,Yes
Cook Islands,New Zealand,No,Yes,Yes
Coral Sea Islands,Australia,No,No,Yes
Curaçao,Netherlands,No,Yes,Yes
Dhekelia Sovereign Base Area,United Kingdom,No,No,Yes
Dominica,Dominica,No,Yes,Yes
Falkland Islands,United Kingdom,Yes,Yes,Yes
Faroe Islands,Denmark,No,Yes,Yes
Federated States of Micronesia,Federated States of Micronesia,No,Yes,Yes
French Guiana,France,No,No,No
French Polynesia,France,No,Yes,Yes
French Southern and Antarctic Lands,France,Yes,Yes,Yes
Gibraltar,United Kingdom,No,No,Yes
Greenland,Denmark,Yes,Yes,Yes
Grenada,Grenada,No,Yes,Yes
Guadeloupe,France,No,No,No
Guam,United States of America,No,Yes,Yes
Guernsey,United Kingdom,No,Yes,Yes
Heard Island and McDonald Islands,Australia,No,Yes,Yes
Hong Kong S.A.R.,China,No,Yes,Yes
Indian Ocean Territories,Australia,No,Yes,Yes
Isle of Man,United Kingdom,No,Yes,Yes
Jersey,United Kingdom,No,Yes,Yes
Kiribati,Kiribati,No,Yes,Yes
Liechtenstein,Liechtenstein,No,Yes,Yes
Macao S.A.R.,China,No,Yes,Yes
Maldives,Maldives,No,Yes,Yes
Malta,Malta,No,Yes,Yes
Marshall Islands,Marshall Islands,No,Yes,Yes
Martinique,France,No,No,No
Mauritius,Mauritius,No,Yes,Yes
Mayotte,France,No,No,No
Monaco,Monaco,No,Yes,Yes
Montserrat,United Kingdom,No,Yes,Yes
Nauru,Nauru,No,Yes,Yes
New Caledonia,France,Yes,Yes,Yes
Niue,New Zealand,No,Yes,Yes
Norfolk Island,Australia,No,Yes,Yes
Northern Mariana Islands,United States of America,No,Yes,Yes
Palau,Palau,No,Yes,Yes
Pitcairn Islands,United Kingdom,No,Yes,Yes
Puerto Rico,United States of America,Yes,Yes,Yes
Réunion,France,No,No,No
Saint Barthelemy,France,No,Yes,Yes
Saint Helena,United Kingdom,No,Yes,Yes
Saint Kitts and Nevis,Saint Kitts and Nevis,No,Yes,Yes
Saint Lucia,Saint Lucia,No,Yes,Yes
Saint Martin,France,No,Yes,Yes
Saint Pierre and Miquelon,France,No,Yes,Yes
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,No,Yes,Yes
Samoa,Samoa,No,Yes,Yes
San Marino,San Marino,No,Yes,Yes
Seychelles,Seychelles,No,Yes,Yes
Singapore,Singapore,No,Yes,Yes
Sint Maarten,Netherlands,No,Yes,Yes
South Georgia and the Islands,United Kingdom,No,Yes,Yes
São Tomé and Príncipe,São Tomé and Príncipe,No,Yes,Yes
Tokelau,New Zealand,No,No,No
Tonga,Tonga,No,Yes,Yes
Turks and Caicos Islands,United Kingdom,No,Yes,Yes
Tuvalu,Tuvalu,No,No,Yes
United States Minor Outlying Islands,United States of America,No,Yes,Yes
United States Virgin Islands,United States of America,No,Yes,Yes
US Naval Base Guantanamo Bay,Cuba,No,No,Yes
Vatican,Vatican,No,Yes,Yes
Wallis and Futuna,France,No,Yes,Yes
